DateFound,CustomerID,JobNum,ItemID,JobItem,InspectShift,InspectGluer,CaseQty,DefectCode,DefectDesc,DefectiveSamples,TotalSamples,DepartmentID
6/27/2022,Mary Kay,421038,7203,421038-7203,1,9,800,G11,Machine Damage,6,32,FINISHING 
6/27/2022,Mary Kay,421038,7203,421038-7203,1,9,800,G11,Machine Damage,7,32,FINISHING 
6/27/2022,Mary Kay,421038,7203,421038-7203,1,9,800,G11,Machine Damage,6,32,FINISHING 
6/27/2022,Mary Kay,421038,7203,421038-7203,1,9,800,G11,Machine Damage,5,32,FINISHING 
6/27/2022,Mary Kay,421038,7203,421038-7203,1,9,800,G11,Machine Damage,7,32,FINISHING 
6/27/2022,Mary Kay,421038,7203,421038-7203,1,9,800,G11,Machine Damage,6,32,FINISHING 
6/28/2022,Titleist,420950,8600,420950-8600,2,2,300,P8,Dryup,20,20,PRINTING 
6/28/2022,Titleist,420950,8600,420950-8600,2,2,300,P8,Dryup,20,20,PRINTING 
6/28/2022,Titleist,420950,8600,420950-8600,2,2,300,P8,Dryup,20,20,PRINTING 
6/28/2022,Titleist,420950,8600,420950-8600,2,2,300,P8,Dryup,20,20,PRINTING 
6/28/2022,Titleist,420950,8600,420950-8600,2,2,300,P8,Dryup,20,20,PRINTING 
6/28/2022,HH Associates,421076,9330,421076-9330,1,9,300,P4,Scratches,5,20,PRINTING 
6/28/2022,PTR,420771,9678,420771-9678,1,6,900,D3,Rubber Marks,7,32,DIE CUTTING 
6/28/2022,PTR,420771,9678,420771-9678,1,6,900,D3,Rubber Marks,6,32,DIE CUTTING 
6/28/2022,PTR,420771,9678,420771-9678,1,6,900,D3,Rubber Marks,6,32,DIE CUTTING 
6/28/2022,Titleist,420947,9714,420947-9714,1,2,300,ES5,Hologram,6,20,STAMPING 
