RunEventDate,DepartmentID,MachineID,RunEventShift,EmployeeID,JobID,ItemID,JobItem,Quantity,QtyUp
6/23/2022,DIE CUTTING ,Bobst 106 DC1 ,B Shift ,JMonge ,421038,7203,421038-7203,17950,9
6/23/2022,DIE CUTTING ,Bobst 106 DC1 ,C Shift ,JMonge ,420914,1564,420914-1564,-   ,4
6/24/2022,DIE CUTTING ,Bobst 106 DC1 ,B Shift ,Snewton ,,1565,-1565,-   ,0
6/24/2022,DIE CUTTING ,Bobst 106 DC1 ,B Shift ,JMonge ,421038,1566,421038-1566,11233,9
6/25/2022,DIE CUTTING ,Bobst 106 DC1 ,A Shift ,KFlaherty ,420661,1567,420661-1567,9422,2
6/25/2022,DIE CUTTING ,Bobst 106 DC1 ,A Shift ,KFlaherty ,420662,1568,420662-1568,-   ,15
6/25/2022,DIE CUTTING ,Bobst 106 DC1 ,A Shift ,KFlaherty ,421040,7174,421040-7174,-   ,21
6/26/2022,DIE CUTTING ,Bobst 106 DC1 ,Overtime ,KFlaherty ,420886,,420886-,-   ,8
6/26/2022,DIE CUTTING ,Bobst 106 DC1 ,Overtime ,KFlaherty ,420989,,420989-,-   ,8
6/26/2022,DIE CUTTING ,Bobst 106 DC1 ,Overtime ,KFlaherty ,421040,7174,421040-7174,10820,21
6/26/2022,DIE CUTTING ,Bobst 106 DC1 ,Overtime ,KFlaherty ,421076,,421076-,7000,4
6/20/2022,FINISHING ,GLUER #9 OMEGA ,1st shift ,BCruz ,420579,,420579-,237333,1
6/20/2022,FINISHING ,GLUER #9 OMEGA ,2nd Shift ,NKham ,420579,,420579-,165890,1
6/21/2022,FINISHING ,GLUER #9 OMEGA ,1st shift ,RSaravia ,420462,,420462-,55569,1
6/21/2022,FINISHING ,GLUER #9 OMEGA ,2nd Shift ,NKham ,420462,,420462-,45500,1
6/21/2022,FINISHING ,GLUER #9 OMEGA ,2nd Shift ,NKham ,421079,,421079-,150400,1
6/21/2022,FINISHING ,GLUER #9 OMEGA ,Overtime ,RSaravia ,420462,,420462-,129137,1
6/22/2022,FINISHING ,GLUER #9 OMEGA ,1st shift ,RSaravia ,421079,,421079-,398434,1
6/22/2022,FINISHING ,GLUER #9 OMEGA ,2nd Shift ,NKham ,421079,,421079-,165000,1
6/23/2022,FINISHING ,GLUER #9 OMEGA ,Overtime ,RSaravia ,420862,,420862-,215896,1
6/23/2022,FINISHING ,GLUER #9 OMEGA ,Overtime ,NKham ,420862,,420862-,130300,1
6/24/2022,FINISHING ,GLUER #9 OMEGA ,Weekend shift ,RSaravia ,420942,,420942-,10228,1
6/24/2022,FINISHING ,GLUER #9 OMEGA ,Weekend shift ,NKham ,420942,,420942-,155100,1
6/20/2022,FINISHING ,GLUER #7 BOBST ,1st shift ,dtomasko ,420494,,420494-,35050,1
6/20/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,420996,,420996-,-   ,1
6/20/2022,FINISHING ,GLUER #7 BOBST ,Overtime ,IXaypanya ,420388,,420388-,45000,1
6/21/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,420996,,420996-,3000,1
6/21/2022,FINISHING ,GLUER #7 BOBST ,Overtime ,DMyrick ,420996,,420996-,3188,1
6/22/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,421009,,421009-,18275,1
6/22/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,421009,,421009-,-   ,1
6/23/2022,FINISHING ,GLUER #7 BOBST ,1st shift ,DMyrick ,421003,,421003-,39182,1
6/23/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,420914,,420914-,32000,1
6/23/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,420916,,420916-,-   ,1
6/23/2022,FINISHING ,GLUER #7 BOBST ,2nd shift ,IXaypanya ,421009,,421009-,8361,1
6/24/2022,FINISHING ,GLUER #7 BOBST ,Overtime ,DMyrick ,412353,,412353-,23721,1
6/24/2022,FINISHING ,GLUER #7 BOBST ,Overtime ,DMyrick ,420914,,420914-,8394,1
6/20/2022,FINISHING ,GLUER #4 Omega ,1st shift ,KBabjak ,420945,,420945-,20722,1
6/20/2022,FINISHING ,GLUER #4 Omega ,2nd shift ,MEdwards ,420945,,420945-,220500,1
6/21/2022,FINISHING ,GLUER #4 Omega ,1st shift ,KBabjak ,420945,,420945-,204605,1
6/21/2022,FINISHING ,GLUER #4 Omega ,2nd shift ,MEdwards ,420945,,420945-,130000,1
6/22/2022,FINISHING ,GLUER #4 Omega ,1st shift ,KBabjak ,421022,,421022-,294733,1
6/22/2022,FINISHING ,GLUER #4 Omega ,2nd shift ,MEdwards ,420945,,420945-,108000,1
6/22/2022,FINISHING ,GLUER #4 Omega ,2nd shift ,MEdwards ,421022,,421022-,116000,1
6/23/2022,FINISHING ,GLUER #4 Omega ,1st shift ,KBabjak ,421022,,421022-,-   ,1
6/23/2022,FINISHING ,GLUER #4 Omega ,2nd shift ,MEdwards ,421022,,421022-,257250,1
6/20/2022,FINISHING ,GLUER #6 6FX ,1st shift ,MMontalvo ,420861,,420861-,12425,1
6/20/2022,FINISHING ,GLUER #6 6FX ,2nd shift ,IXaypanya ,420388,,420388-,-   ,1
6/21/2022,FINISHING ,GLUER #6 6FX ,1st shift ,MMontalvo ,421030,,421030-,13182,1
6/22/2022,FINISHING ,GLUER #6 6FX ,1st shift ,DMyrick ,421001,,421001-,28240,1
6/22/2022,FINISHING ,GLUER #6 6FX ,1st shift ,DMyrick ,421002,,421002-,59070,1
6/22/2022,FINISHING ,GLUER #6 6FX ,Overtime ,DMyrick ,421001,,421001-,6900,1
6/23/2022,FINISHING ,GLUER #6 6FX ,1st shift ,DMyrick ,421030,,421030-,5681,1
6/23/2022,FINISHING ,GLUER #6 6FX ,Overtime ,DMyrick ,420922,,420922-,15110,1
6/24/2022,FINISHING ,GLUER #6 6FX ,Overtime ,DMyrick ,420792,,420792-,5200,1
6/24/2022,FINISHING ,GLUER #6 6FX ,Overtime ,RSaravia ,421030,,421030-,16600,1
6/25/2022,FINISHING ,GLUER #6 6FX ,Overtime ,MMontalvo ,420792,,420792-,24051,1
6/25/2022,FINISHING ,GLUER #6 6FX ,Overtime ,MMontalvo ,421039,,421039-,20775,1
6/26/2022,FINISHING ,GLUER #6 6FX ,Overtime ,MMontalvo ,421039,,421039-,88200,1
6/20/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,420729,,420729-,9725,1
6/20/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,420945,,420945-,43218,1
6/20/2022,FINISHING ,Gluer #2 Bobst ,1st shift ,KBabjak ,420945,,420945-,-   ,1
6/20/2022,FINISHING ,Gluer #2 Bobst ,Overtime ,KBabjak ,420945,,420945-,54384,1
6/20/2022,FINISHING ,Gluer #2 Bobst ,Overtime ,KBabjak ,420945,,420945-,12325,1
